clade,genome,assembly,group,track,table,clade.text,genome.text,assembly.text,group.text,track.text,table.text,downloadLink,bwEpitransPath
mammal,Human,hg38,RP-InitiatingRibos,Raj16_RiboProInit,Raj16_GM19238_ribosome_protected_fragments_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),LCL :Raj 2016,GM19238 ribosome protected fragments (Raj16_GM19238_ribosome_protected_fragments_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Raj16_GM19238_ribosome_protected_fragments_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Raj16_GM19238_ribosome_protected_fragments_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Raj16_RiboProInit,Raj16_GM19204_ribosome_protected_fragments_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),LCL :Raj 2016,GM19204 ribosome protected fragments (Raj16_GM19204_ribosome_protected_fragments_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Raj16_GM19204_ribosome_protected_fragments_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Raj16_GM19204_ribosome_protected_fragments_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Zhang17_RiboProInit,Zhang17_HEK293_Harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HEK: Zhang17,HEK293 Harr (Zhang17_HEK293_Harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Zhang17_HEK293_Harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Zhang17_HEK293_Harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Gao14_RiboProInit,Gao14_SRR1630829_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HEK293: Gao14,SRR1630829 (Gao14_SRR1630829_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Gao14_SRR1630829_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Gao14_SRR1630829_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Gao14_RiboProInit,Gao14_SRR1630830_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HEK293: Gao14,SRR1630830 (Gao14_SRR1630830_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Gao14_SRR1630830_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Gao14_SRR1630830_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Gao14_RiboProInit,Gao14_SRR1630828_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HEK293: Gao14,SRR1630828 (Gao14_SRR1630828_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Gao14_SRR1630828_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Gao14_SRR1630828_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Fijalkowska17_RiboProInit,Fijalkowska17_control_HCT116_cells_lactimidomycin_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HCT116: Fijalkowska17,Ribosome profiling of control HCT116 cells treated with lactimidomycin (Fijalkowska17_control_HCT116_cells_lactimidomycin_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Fijalkowska17_control_HCT116_cells_lactimidomycin_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Fijalkowska17_control_HCT116_cells_lactimidomycin_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Fijalkowska17_RiboProInit,Fijalkowska17_HCT116_eIF1_knockdown_lactimidomycin_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HCT116: Fijalkowska17,Ribosome profiling of HCT116 cells upon eIF1 knockdown treated with lactimidomycin (Fijalkowska17_HCT116_eIF1_knockdown_lactimidomycin_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Fijalkowska17_HCT116_eIF1_knockdown_lactimidomycin_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Fijalkowska17_HCT116_eIF1_knockdown_lactimidomycin_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Chen20_RiboProInit,Chen20_Cardiomyocyte_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),iPSC: Chen20,Cardiomyocyte ribosome profiling harr (Chen20_Cardiomyocyte_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Chen20_Cardiomyocyte_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Chen20_Cardiomyocyte_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Chen20_RiboProInit,Chen20_iPSC_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),iPSC: Chen20,iPSC ribosome profiling harr (Chen20_iPSC_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Chen20_iPSC_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Chen20_iPSC_harr_RiboProInit.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18502,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18502 (Cenik15_GM18502),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18502&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18502.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM10847,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM10847 (Cenik15_GM10847),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM10847&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM10847.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18489,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18489 (Cenik15_GM18489),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18489&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18489.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18505,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18505 (Cenik15_GM18505),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18505&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18505.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18511,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18511 (Cenik15_GM18511),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18511&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18511.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18519,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18519 (Cenik15_GM18519),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18519&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18519.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18870,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18870 (Cenik15_GM18870),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18870&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18870.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19099,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19099 (Cenik15_GM19099),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19099&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19099.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19139,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19139 (Cenik15_GM19139),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19139&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19139.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19193,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19193 (Cenik15_GM19193),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19193&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19193.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19200,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19200 (Cenik15_GM19200),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19200&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19200.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19201,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19201 (Cenik15_GM19201),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19201&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19201.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18507,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18507 (Cenik15_GM18507),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18507&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18507.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM12878,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM12878 (Cenik15_GM12878),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM12878&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM12878.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM12890,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM12890 (Cenik15_GM12890),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM12890&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM12890.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM12891,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM12891 (Cenik15_GM12891),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM12891&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM12891.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM12892,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM12892 (Cenik15_GM12892),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM12892&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM12892.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18499,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18499 (Cenik15_GM18499),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18499&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18499.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18501,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18501 (Cenik15_GM18501),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18501&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18501.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18504,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18504 (Cenik15_GM18504),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18504&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18504.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18522,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18522 (Cenik15_GM18522),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18522&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18522.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18523,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18523 (Cenik15_GM18523),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18523&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18523.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19098,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19098 (Cenik15_GM19098),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19098&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19098.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19137,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19137 (Cenik15_GM19137),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19137&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19137.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19138,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19138 (Cenik15_GM19138),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19138&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19138.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19238,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19238 (Cenik15_GM19238),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19238&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19238.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM19239,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM19239 (Cenik15_GM19239),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM19239&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM19239.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18526,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18526 (Cenik15_GM18526),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18526&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18526.bw
mammal,Human,hg38,RP-ElongatingRibos,Cenik15_RiboProElong,Cenik15_GM18951,Mammal,Human,Dec. 2013 (GRCh38/hg38),Elongating Ribosomes (A-site),LCL: Cenik 2015,GM18951 (Cenik15_GM18951),https://gwips.ucc.ie/downloads/download.php?tableName=Cenik15_GM18951&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Cenik15_GM18951.bw
